Title,Title,doi,BD_EPO,BD_Measure,NbS Intervention Type,birds,mammals,fish,amphibians,reptiles,worms ,phytoplankton and zooplankton,mollusca,other macroinvertebrates,nondesc_verts,crustacea,insects,fungi,rotifers,bacteria,Ter_Veg,Aqu_Veg,habitat/ecosystem  diversity,habitat-taxaconnect,habitatWB,habitatspecieslink,R_T,BD_Measure,baseline_compBD,water storage/retention,connectivity/conveyance capacity,drainage,groundwater recharge,flood impacts,streamflow speed,run off/erosion reduction,water quality,FM type_qual,FM type_quan,baseline_compFM,Country,Continent,Continentref,Scale,Scaleref,Scale2,BDFM relationship measured,NbSref,NbSreduce,NbS Intervention Type,timesinceint,int2,surveyrepeats,monitorType,R_T,surveyrepeatsOG
Identifying Ecological Security Patterns Based on Ecosystem Services Is a Significative Practice for Sustainable Development in Southwest China,Identifying Ecological Security Patterns Based on Ecosystem Services Is a Significative Practice for Sustainable Development in Southwest China,https://doi.org/10.3389/fevo.2021.810204,Y,N,Ecosystem Protection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ecosystem/habitat diversity,Y - linked to taxa,between,Y,Response (NS),N,NA,quantitative,quantitative,NA,NA,quantitative,NA,quantitative,NA,NA,"water storage, conveyance, floodimpact, runoff and erosion",NA,China,Asia,B,macro+,c,Macro,Unclear,II,Ecosystem Protection,Ecosystem Protection,>1 decade,d,NA,Spatial cf,Response (NS),NA
Preliminary strategic environmental assessment of the Great Western Development Strategy: Safeguarding ecological security for a new western China,Preliminary strategic environmental assessment of the Great Western Development Strategy: Safeguarding ecological security for a new western China,10.1007/s00267-011-9794-1,N,N,Ecosystem Protection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ecosystem/habitat diversity,? And N,NA,NA,Response(NS),N,NA,qualitative,NA,NA,NA,qualitative,NA,quantitative,NA,"water storage, floodimpact ",runoff and erosion,NA,China,Asia,B,macro+,c,Macro,NA,II,Ecosystem Protection,Ecosystem Protection,z,a,NA,Spatial cf,Response(NS),Unclear
Assessment of Green Infrastructure in Riparian Zones Using Copernicus Programme,Assessment of Green Infrastructure in Riparian Zones Using Copernicus Programme,10.3390/rs11242967,Y,N,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ecosystem/habitat diversity,N - GI - general terrestrial networks,between,NA,Treatment(response(S)),N,NA,quantitative,NA,quantitative,NA,quantitative,NA,quantitative,NA,NA,"water storage, drainage, floodimpact, runoff and erosion",some,Italy,Europe,A,macro+,c,Macro,NA,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,z,a,NA,Spatial cf,Treatment(response(S)),Unclear
From ecosystems to ecosystem services: Stream restoration as ecological engineering,From ecosystems to ecosystem services: Stream restoration as ecological engineering,10.1016/j.ecoleng.2013.07.059,N,N,Constructed Wetlands & Lake Reconstruction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,N,NA,qualitative,NA,NA,NA,NA,quantitative,quantitative,quantitative,water storage,"flowvelocity, runoff and erosion",some,USA,North America,C,meso-macro,b,Meso,NA,GG,Constructed Wetlands & Lake Reconstruction,Constructed Wetlands & Lake Reconstruction,years,c,NA,No cf,NA,NA
A Large-Scale Nature-Based Solution in Agriculture for Sustainable Water Management: The Lake Karla Case,A Large-Scale Nature-Based Solution in Agriculture for Sustainable Water Management: The Lake Karla Case,10.3390/su12176761,N,N,Lake Restoration,community composition no baseline,NA,community composition no baseline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Response(NS),N,NA,quantitative,NA,quantitative,qualitative,quantitative,qualitative,qualitative,qualitative,"grounwater, flowvelocity, runoff and erosion","water storage, drainage, floodimpact",some,Greece,Europe,A,meso-macro,b,Meso,NA,BB,Other Restoration,Lake Restoration,>2 decades,e,NA,No cf,Response(NS),NA
Assessing flooding and possible adaptation measures using remote sensing data and hydrological modeling in Sweden,Assessing flooding and possible adaptation measures using remote sensing data and hydrological modeling in Sweden,https://doi.org/10.1016/j.crm.2022.100464,Y,N,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Response(NS),N,NA,quantitative,NA,quantitative,qualitative,quantitative,quantitative,quantitative,qualitative,groundwater,"water storage, drainage, floodimpact, flowvelocity, runoff and erosion",some,Sweden,Europe,A,meso-macro,b,Meso,Positive,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,years,c,NA,No cf,Response(NS),Unclear
Geomorphologic characteristics and evolution of managed dunes on the South West Coast of France,Geomorphologic characteristics and evolution of managed dunes on the South West Coast of France,10.1016/j.geomorph.2020.107312,N,N,Coastal restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Response(NS),N,NA,NA,NA,NA,NA,qualitative,NA,quantitative,NA,floodimpact,flowvelocity,some,France,Europe,A,meso-macro,b,Meso,NA,HH,Other Restoration,Coastal restoration,years,c,NA,No Cf,Response(NS),NA
Restoring Rivers and Floodplains for Habitat and Flood Risk Reduction: Experiences in Multi-Benefit Floodplain Management From California and Germany,Restoring Rivers and Floodplains for Habitat and Flood Risk Reduction: Experiences in Multi-Benefit Floodplain Management From California and Germany,https://doi.org/10.3389/fenvs.2021.778568,Y,N,Wetland Restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Response(NS),N,NA,qualitative,quantitative,qualitative,qualitative,quantitative,qualitative,qualitative,quantitative,"water storage, drainage, groundwater, floodimpact, runoff and erosion","conveyance, floodimpact",NA,"USA, Germany",Across,F,meso-macro,b,Meso,NA,DD,Wetland Restoration,Wetland Restoration,>2 decades,e,NA,No cf,Response(NS),Unclear
Contradictory hydrological impacts of afforestation in the humid tropics evidenced by long-term field monitoring and simulation modelling,Contradictory hydrological impacts of afforestation in the humid tropics evidenced by long-term field monitoring and simulation modelling,10.5194/hess-20-2691-2016,N,N,Forest afforestation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species composition no baseline,NA,ecosystem/habitat diversity,NA,between,NA,Treatment(NS),N,NA,quantitative,NA,NA,quantitative,NA,quantitative,quantitative,NA,NA,"water storage, groundwater, flowvelocity, runoff and erosion",some,Vietnam and Laos,Asia,B,meso-macro,b,Meso,Positive,FF,Afforestation,Forest afforestation,>1 decade,d,repeated ,pre-post,Treatment(NS),repeated 
High tolerance land use against flood disasters: How paddy fields as previously natural wetland inhibit the occurrence of floods,High tolerance land use against flood disasters: How paddy fields as previously natural wetland inhibit the occurrence of floods,10.1016/j.ecolind.2020.106306,N,N,Agro-ecological management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ecosystem/habitat diversity,within and not linked to taxa,within,NA,Treatment(NS),N,NA,quantitative,NA,NA,qualitative,quantitative,quantitative,NA,NA,groundwater,"water storage, floodimpact, flowvelocity",NA,Japan,Asia,B,meso-macro,b,Meso,NA,JJ,Agro-ecological management,Agro-ecological management,years,c,NA,No cf,Treatment(NS),Unclear
